gene_name,p_val_adj
LYL-1 protein gene,0.0492966096357104
CYTOCHROME C OXIDASE POLYPEPTIDE VA PRECURSOR,0.049310016873406255
CYC1 Cytochrome c-1,0.04971480141221261
TP53 Tumor protein p53 (Li-Fraumeni syndrome),0.050298083977313175
MLC gene (non-muscle myosin light chain) extracted from Human nonmuscle/smooth muscle alkali myosin light chain gene,0.050837159127481955
PPGB Protective protein for beta-galactosidase (galactosialidosis),0.050837159127481955
CYB5 Cytochrome b-5,0.050837159127481955
"RAP1A RAP1A, member of RAS oncogene family",0.050837159127481955
"ATP2A2 ATPase, Ca++ transporting, cardiac muscle, slow twitch  2",0.05120776076786674
Transposon-like element mRNA,0.05124784840468418
CD33 CD33 antigen (differentiation antigen),0.05170993792208502
"CAPN2 Calpain, large polypeptide L2",0.05170993792208502
HEXB Hexosaminidase B (beta polypeptide),0.05170993792208502
RASA1 GTPase-activating protein ras p21 (RASA),0.05172550893589133
"MYL3 Myosin, light polypeptide 3, alkali; ventricular, skeletal, slow",0.0519173533282315
PTMS Parathymosin,0.05213374842727731
"ALPL Alkaline phosphatase, liver/bone/kidney",0.05213374842727731
G6PD Glucose-6-phosphate dehydrogenase,0.052709180871100006
IFI56 Interferon-induced protein 56,0.052861848628503044
"THRA Thyroid hormone receptor, alpha (avian erythroblastic leukemia viral (v-erb-a) oncogene homolog)",0.052861848628503044
60-kdal ribonucleoprotein (Ro) mRNA,0.053074970484064045
"ELK1 ELK1, member of ETS oncogene family",0.05309655949349085
SELL Selectin L (lymphocyte adhesion molecule 1),0.053216819148306595
"ATP6B1 ATPase, H+ transporting, lysosomal (vacuolar proton pump), beta polypeptide, 56/58kD, isoform 1",0.053216819148306595
PF4 Platelet factor 4,0.053316864325896426
COL4A1 gene (alpha-1 type IV collagen) extracted from Human alpha-1 collagen type IV gene,0.05332523501297063
"DEFA1 Defensin, alpha 1, myeloid-related sequence ",0.05354052718650249
UBA52 Ubiquitin A-52 residue ribosomal protein fusion product 1,0.05354331428063726
"CD8A CD8 antigen, alpha polypeptide (p32)",0.05383654194988932
"SLC4A1 Solute carrier family 4, anion exchanger, member 1 (erythrocyte membrane protein band 3)",0.054700692566590985
Endogenous retroviral protease mRNA,0.05474681795195038
CST3 Cystatin C (amyloid angiopathy and cerebral hemorrhage),0.05475140703474831
RAS-RELATED PROTEIN RAB-1A,0.05479778810413997
"NADH-CYTOCHROME B5 REDUCTASE",0.055751203513664055
CD1A CD1a antigen (thymocyte antigen),0.05612057825390611
CD1B CD1b antigen (thymocyte antigen),0.056160744383293645
CD1C CD1c antigen (thymocyte antigen),0.056160744383293645
HNRPA2B1 Heterogeneous nuclear ribonucleoprotein A2/B1,0.0567281847731808
MAG Myelin-associated glycoprotein,0.056792203998488416
Recombination activating protein (RAG-1) gene,0.056792203998488416
Translational initiation factor 2 beta subunit (elF-2-beta) mRNA,0.056792203998488416
IL7R Interleukin 7 receptor,0.057526436690026043
"FUCA1 Fucosidase, alpha-L- 1, tissue",0.05764600483597163
OAT Ornithine aminotransferase (gyrate atrophy),0.05764600483597163
MGMT 6-O-methylguanine-DNA methyltransferase (MGMT),0.058353113042373964
"CETP Cholesteryl ester transfer protein, plasma",0.05841836661131241
"MX2 Myxovirus (influenza) resistance 2, homolog of murine",0.05877949477550537
TCRG T cell receptor gamma chain,0.05880527411464532
"ATP-DEPENDENT DNA HELICASE II, 86 KD SUBUNIT",0.05938883424730282
"MYH9 Myosin, heavy polypeptide 9, non-muscle",0.05963500134254893
"PTX3 Pentaxin-related gene, rapidly induced by IL-1 beta",0.0597787289359515
Oncoprotein 18 (Op18) gene,0.05978487712874146
"GNB3 Guanine nucleotide binding protein (G protein), beta polypeptide 3",0.060259242469701414
X BOX BINDING PROTEIN-1,0.06060773157758869
HPRT1 Hypoxanthine phosphoribosyltransferase 1 (Lesch-Nyhan syndrome),0.06090872036350337
"ALDH1 Aldehyde dehydrogenase 1, soluble",0.060987189694569295
"NCF2 Neutrophil cytosolic factor 2 (65kD, chronic granulomatous disease, autosomal 2)",0.06123766989653396
GB DEF = H19 RNA gene,0.06134186200648017
"SRD5A1 Steroid-5-alpha-reductase, alpha polypeptide 1 (3-oxo-5 alpha-steroid delta 4-dehydrogenase alpha 1)",0.06139984840774997
TNFR2 Tumor necrosis factor receptor 2 (75kD),0.06153189199107418
ICAM2 Intercellular adhesion molecule 2,0.06162350600764086
SRI Sorcin,0.061877737164183495
Fc-epsilon-receptor gamma-chain mRNA,0.06203684862713613
VCL Vinculin,0.06204264739853958
PRKAR1A CAMP-dependent protein kinase regulatory subunit type I,0.06269377729293704
LARGE PROLINE-RICH PROTEIN BAT2,0.06315067292880834
LARGE PROLINE-RICH PROTEIN BAT3,0.06336984098032042
GB DEF = Lymphocyte-specific protein 1 (LSP1) mRNA,0.06342219765116246
26-kDa cell surface protein TAPA-1 mRNA,0.06380354318957998
ODC1 Ornithine decarboxylase 1,0.06380354318957998
"MX1 Myxovirus (influenza) resistance 1, homolog of murine (interferon-inducible protein p78)",0.06451073871487309
GB DEF = Alpha-2-adrenergic receptor (alpha-2 c2) gene,0.06459224385821673
"CLAPB1 Clathrin-associated/assembly/adaptor protein, large, beta 1",0.06459224385821673
"PRKACB Protein kinase, cAMP-dependent, catalytic, beta",0.06466364503010891
"ITGA2B Integrin, alpha 2b (platelet glycoprotein IIb of IIb/IIIa complex, antigen CD41B)",0.06475061809923165
GLB1 Beta-D-galactosidase,0.06512098309392986
"IDO Indole 2,3-dioxygenase",0.06535115011735618
FKBP1 FK506-binding protein 1 (12kD),0.06569163020073471
"PLCG1 Phospholipase C, gamma 1 (formerly subtype 148)",0.0657359973766669
"PTPRA Protein tyrosine phosphatase, receptor type, alpha polypeptide",0.06578714771756702
FACTOR VIII INTRON 22 PROTEIN,0.06578714771756702
GB DEF = M1 gene for muscarinic acetylcholine receptor,0.06629340952171095
"FUT1 Fucosyltransferase 1 (galactoside 2-alpha-L-fucosyltransferase, Bombay phenotype included)",0.06631524849209847
INSULIN-LIKE GROWTH FACTOR BINDING PROTEIN 3 PRECURSOR,0.06651559529180164
"LIG1 Ligase I, DNA, ATP-dependent",0.06672439654205152
DNA-REPAIR PROTEIN XRCC1,0.06685810717039317
ARF4 ADP-ribosylation factor 4,0.06705193565151263
CD53 CD53 antigen,0.0671054225821785
"ATP5 ATP synthase, H+ transporting, mitochondrial",0.06718061877201315
"GB DEF = Ig superfamily cytotoxic T-lymphocyte-associated protein (CTLA-4) gene, last exon",0.06719517215352344
CSF1 Colony-stimulating factor 1 (M-CSF),0.06719729542546354
H2AZ H2AZ histone,0.06719729542546354
CD48 CD48 antigen (B-cell membrane protein),0.06735641565306133
"S100A10 S100 calcium-binding protein A10 (annexin II ligand, calpactin I, light polypeptide (p11))",0.06755755478640472
CD9 CD9 antigen,0.06765249342974458
CD72 CD72 antigen,0.06765249342974458
PPBP Connective tissue activation peptide III,0.06765249342974458
NCF1 47 kD autosomal chronic granulomatous disease protein,0.06809014189675308
FAH Fumarylacetoacetate,0.06816301112748996
"CSNK2A1 Casein kinase 2, alpha 1 polypeptide",0.06820992011715053
"CSNK2A2 Casein kinase 2, alpha prime polypeptide",0.06820992011715053
"SLC2A5 Solute carrier family 2 (facilitated glucose transporter), member 5",0.06890744984206323
"MMP2 Matrix metalloproteinase 2 (gelatinase A, 72kD gelatinase, 72kD type IV collagenase)",0.06921912898095055
VITAMIN K-DEPENDENT PROTEIN Z PRECURSOR,0.06969942522769995
ARF5 ADP-ribosylation factor 5,0.07026385574867329
GLI3 PROTEIN,0.07145336219464157
"LGALS3 Lectin, galactoside-binding, soluble, 3 (galectin 3) (NOTE: redefinition of symbol)",0.07145336219464157
ARF6 ADP-ribosylation factor 6,0.07145336219464157
UBE1 Ubiquitin activating enzyme E1,0.07148164155630991
Membrane-associated protein (HEM-1) mRNA,0.0716991277044722
SYN1 gene (synapsin I) extracted from Human synapsin I (SYN1) gene,0.07248661498144053
"RPS4Y Ribosomal protein S4, Y-linked",0.07305993214462056
NFKB1 Nuclear factor of kappa light polypeptide gene enhancer in B-cells 1 (p105),0.07305993214462056
TNFAIP1 Tumor necrosis factor alpha inducible protein A20,0.07309536095590058
"NATURAL KILLER CELLS PROTEIN 4 PRECURSOR",0.07346734212375972
C4A Complement component 4A,0.07362107873093711
CSF3R Colony stimulating factor 3 receptor (granulocyte),0.07385252978639328
GB DEF = MHC class III HSP70-HOM gene (HLA),0.07401190032385252
HEAT SHOCK 70 KD PROTEIN 1,0.07401190032385252
ITGA3 Integrin alpha-3 subunit,0.07421986080624779
GALT Galactose-1-phosphate uridyl transferase,0.07525106661877017
HLA-DQB1 gene extracted from Human guanine nucleotide-binding regulatory protein (Go-alpha) gene,0.07526544659111122
DTR Diphtheria toxin receptor (heparin-binding epidermal growth factor-like growth factor),0.07632466817819634
EPB42 Erythrocyte membrane protein band 4.2,0.0768164439000551
DCK Deoxycytidine kinase,0.07682025978012715
Homeobox gene,0.07682025978012715
GB DEF = Histone H2A.1 (H2A) gene,0.07682025978012715
EVI2B PROTEIN PRECURSOR TROPIC VIRAL INTEGRATION SITE 2B PROTEIN),0.07697615348508327
Surface antigen mRNA,0.07714476135632775
CLEAVAGE SIGNAL-1 PROTEIN,0.07724148093135469
"TUBG Tubulin, gamma polypeptide",0.0787709184697887
PHOSPHATIDYLINOSITOL 3-KINASE REGULATORY ALPHA SUBUNIT,0.07957298010696165
Growth/differentiation factor 1 (GDF-1) mRNA,0.07988141064199626
"Modulator recognition factor I (MRF-1) mRNA, 3' end",0.07988141064199626
ATP6C Vacuolar H+ ATPase proton channel subunit,0.0803895027487455
"NAGA N-acetylgalactosaminidase, alpha-",0.0803895027487455
TCF6L1 Transcription factor 6-like 1 (mitochondrial transcription factor 1-like),0.0804471658016013
Transcription factor ETR101 mRNA,0.08046644911899077
Thyroid autoantigen (truncated actin-binding protein) mRNA,0.08066490672248856
CTSD Cathepsin D (lysosomal aspartyl protease),0.08168269862703673
AKT1 V-akt murine thymoma viral oncogene homolog 1,0.08210693225053618
AMFR Autocrine motility factor receptor,0.08293581596853357
TARS Threonyl-tRNA synthetase,0.08397489893381845
"GB DEF = 5-lipoxygenase activating protein (FLAP) gene, exon 5",0.08425799317078828
CLU Clusterin (complement lysis inhibitor; testosterone-repressed prostate message 2; apolipoprotein J),0.08444806236186847
PPIB Peptidylprolyl isomerase B (cyclophilin B),0.08446148204582847
THYROLIBERIN PRECURSOR,0.08504092240368778
TAL1 T-cell acute lymphocytic leukemia 1 (NOTE: redefinition of symbol),0.08607705221537783
"GNA15 Guanine nucleotide binding protein (G protein), alpha 15 (Gq class)",0.08758749343113087
CD27 CD27 antigen (T cell activation antigen),0.08820397062778486
LRPAP1 Low density lipoprotein-related protein-associated protein 1 (alpha-2-macroglobulin receptor-associated protein 1,0.08833553153889899
High density lipoprotein binding protein (HBP) mRNA,0.08860605401358916
"Udulin 1 mRNA, 3' end",0.08902324683489106
TYROSINE-PROTEIN KINASE JAK1,0.08918524458122312
GLDC Glycine cleavage system protein P (glycine decarboxylase),0.08930932261230828
RAC2 Ras-related C3 botulinum toxin substrate 2,0.08958082861533107
HEAT SHOCK FACTOR PROTEIN 1,0.0895894833478551
"MPP1 Membrane protein, palmitoylated 1 (55kD)",0.0895894833478551
"PPP2R2A Protein phosphatase 2 (formerly 2A), regulatory subunit B (PR 52), alpha isoform",0.08961420496402804
XK Kell blood group precursor (McLeod phenotype),0.09027960736131524
PSMA2 Proteasome component C2,0.09050943303306998
"PRKAR1B Protein kinase, cAMP-dependent, regulatory, type I, beta",0.09105412812267799
FSHR Follicle stimulating hormone receptor,0.09105412812267799
HEAT SHOCK FACTOR PROTEIN 2,0.09105412812267799
CDK2 Cyclin-dependent kinase 2,0.09105412812267799
ORF mRNA,0.09105412812267799
GATA2 GATA-binding protein 2,0.09141115975963407
GB DEF = Protein-tyrosine phosphatase mRNA,0.09141115975963407
Globin gene,0.09195116116629531
"PRE-MRNA SPLICING FACTOR SF2, P32 SUBUNIT PRECURSOR",0.09195116116629531
MAJOR HISTOCOMPATIBILITY COMPLEX ENHANCER-BINDING PROTEIN MAD3,0.09195116116629531
MSN Moesin,0.09195116116629531
TPP2 Tripeptidyl peptidase II,0.09198778888428136
POLYPOSIS LOCUS PROTEIN 1,0.09229168265045987
CPA3 Carboxypeptidase A3 (mast cell),0.09262377277443443
Arginine-rich nuclear protein mRNA,0.09273881513097895
"TB1 gene mRNA, 3' end",0.09273881513097895
CUTL1 Cut (Drosophila)-like 1 (CCAAT displacement protein),0.09303842204136407
ARF3 ADP-ribosylation factor 3,0.09347486869057799
UBE2A Ubiquitin-conjugating enzyme E2A (RAD6 homolog),0.0940746230183882
"SEF2-1A protein (SEF2-1A) mRNA, 5' end",0.09436968140665182
FRAP FK506 binding protein 12-rapamycin associated protein,0.09436968140665182
HK1 Hexokinase 1,0.09436968140665182
FN1 Fibronectin 1,0.09471182572414988
Carbonic anhydrase VII (CA VII) gene,0.09495411477028888
GTF2B General transcription factor IIB,0.09495411477028888
NUCLEOLYSIN TIA-1,0.09515495131880466
YY1 YY1 transcription factor,0.09515495131880466
PYCR1 Pyrroline-5-carboxylate reductase 1,0.09534670097083615
INTEGRAL MEMBRANE PROTEIN E16,0.0954886802637734
"PEPTIDYL-PROLYL CIS-TRANS ISOMERASE, MITOCHONDRIAL PRECURSOR",0.095544950570548
GB DEF = M5 muscarinic acetylcholine receptor gene,0.09620345550910839
"Protein kinase A catalytic subunit mRNA, 3' end",0.09620345550910839
PUTATIVE SERINE/THREONINE-PROTEIN KINASE P78,0.09894166241280772
PLACENTAL CALCIUM-BINDING PROTEIN,0.09963350635584796
Cdc2-related protein kinase (CHED) mRNA,0.09989657698979441
THROMBOXANE-A SYNTHASE,0.09989657698979441
AHNAK AHNAK nucleoprotein (desmoyokin),0.10000859139014996
CPB1 Carboxypeptidase B1 (tissue),0.10002121085672792
TRANSCRIPTION ELONGATION FACTOR S-II,0.10050175723102543
"SODIUM CHANNEL PROTEIN, SKELETAL MUSCLE ALPHA-SUBUNIT",0.10070345820944437
"SMPD1 gene (acid sphingomyelinase) extracted from Homo sapiens acid sphingomyelinase (SMPD1) gene, ORF's 1-3's",0.1017939006146319
GB DEF = Somatostatin receptor isoform 2 (SSTR2) gene,0.10211802555399217
ANX4 Annexin IV (placental anticoagulant protein II),0.10211802555399217
ETS-RELATED TRANSCRIPTION FACTOR ELF-1,0.10211802555399217
PGM1 Phosphoglucomutase 1,0.10211802555399217
GB DEF = Serotonin receptor gene,0.10211802555399217
TRANSCRIPTION FACTOR RELB,0.10211802555399217
"TCF12 Transcription factor 12 (HTF4, helix-loop-helix transcription factors 4)",0.10282012784726859
Arginine-rich protein (ARP) gene,0.10312274086660107
"CD59 CD59 antigen p18-20 (antigen identified by monoclonal antibodies 16.3A5, EJ16, EJ30, EL32 and G344)",0.10312274086660107
DF D component of complement (adipsin),0.1032091994180083
CALR Autoantigen calreticulin,0.1032091994180083
Homologue of yeast sec7 mRNA,0.10336373693012203
"GB DEF = Dopamine D1A receptor gene, complete exon 1, and exon 2, 5' end",0.10336373693012203
NKG5 PROTEIN PRECURSOR,0.10372930553488227
"YWHAZ Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta polypeptide",0.10372930553488227
PBX1 PBX1a and PBX1b,0.10376469810777031
HnRNP C2 protein mRNA,0.10461581874803026
GLYCYLPEPTIDE N-TETRADECANOYLTRANSFERASE,0.10485565971965372
SSRP1 High mobility group box,0.10549414726905841
TRANSFORMATION-SENSITIVE PROTEIN IEF SSP 3521,0.10549414726905841
"PXMP3 Peroxisomal membrane protein 3 (35kD, Zellweger syndrome)",0.10557005799136994
"RFC4 Replication factor C, 37-kD subunit",0.10557005799136994
69/71 KD,0.10567307770555216
TRANSCRIPTIONAL REGULATOR ISGF3 GAMMA SUBUNIT,0.10590039309212952
GALECTIN-2,0.10590039309212952
P62 mRNA,0.10590039309212952
FKBP4 FK506-binding protein 4 (59kD),0.10636405649006685
T-CELL SURFACE PROTEIN TACTILE PRECURSOR,0.10636405649006685
ELP-1 mRNA sequence,0.10691320825173987
MVK Mevalonate kinase,0.10731624388632387
IGB Immunoglobulin-associated beta (B29),0.10731624388632387
"GCK Glucokinase (hexokinase 4, maturity onset diabetes of the young 2)",0.10738160042000483
"GLCLC Glutamate-cysteine ligase (gamma-glutamylcysteine synthetase), catalytic (72.8kD)",0.10758931684348708
AMP deaminase (AMPD2) mRNA,0.10770500947323536
G-gamma globin gene extracted from H.sapiens G-gamma globin and A-gamma globin genes's,0.10772765446512504
DNA-binding protein (HRC1) mRNA,0.10775107613913203
ICSBP1 Interferon consensus sequence binding protein 1,0.10775107613913203
"ACADM Acyl-Coenzyme A dehydrogenase, C-4 to C-12 straight chain",0.1080401201680621
GB DEF = Kazal-type serine proteinase (HUSI-II) gene,0.10814123001641533
Br140 mRNA,0.10814123001641533
ZNF76 Zinc finger protein 76,0.10843991190401273
Ubiquitin carrier protein (E2-EPF) mRNA,0.1086952938323565
CCND3 Cyclin D3,0.1086952938323565
"DIHYDROPRYRIDINE-SENSITIVE L-TYPE, CALCIUM CHANNEL BETA-1-B1 SUBUNIT",0.10925723750091382
B94 PROTEIN,0.11010893474474455
130 KD LEUCINE-RICH PROTEIN,0.11010893474474455
"LTR mRNA, 3' end of coding region and 3' flank",0.11053063034362685
CTGF Connective tissue growth factor,0.11097499567466951
LEUKOCYTE ELASTASE INHIBITOR,0.1113490957918423
D-BETA-HYDROXYBUTYRATE DEHYDROGENASE PRECURSOR,0.11245227152205536
M6PR Mannose receptor,0.11245227152205536
Pancreatic lipase related protein 1 (PLRP1) mRNA,0.1131665915475015
Methylmalonate semialdehyde dehydrogenase gene,0.1131665915475015
"PTPRZ Protein tyrosine phosphatase, receptor-type, zeta polypeptide",0.11347536228182914
NOS3 Nitric oxide synthase 3 (endothelial cell),0.11469505725113409
MDK Midkine (neurite growth-promoting factor 2),0.11495961741032018
"CAPG Capping protein (actin filament), gelsolin-like",0.11557632641854915
"LAMB2 Laminin, beta 2 (laminin S)",0.11565401109139468
SSBP Single-stranded DNA-binding protein,0.11570858057543863
"Heterogeneous nuclear ribonucleoprotein D (hnRNP D), partial cds, clone cDx4",0.11651183603989199
"GB DEF = Recombination acitivating protein (RAG2) gene, last exon",0.1175342635434965
"FATTY ACID-BINDING PROTEIN, EPIDERMAL",0.11769709391600337
"ALPHA-ACTININ 1, CYTOSKELETAL ISOFORM",0.11817419897696937
"SLC5A2 Solute carrier family 5 (sodium/glucose cotransporter), member 2",0.11890415604215625
"COL9A2 Collagen, type IX, alpha 2",0.11971383377682634
PBGD gene (hydroxymethylbilane synthase) extracted from Homo sapiens hydroxymethylbilane synthase gene,0.11993554365216764
"PLCB2 Phospholipase C, beta 2",0.12006862970796572
BRAF V-raf murine sarcoma viral oncogene homolog B1,0.12006862970796572
22kDa smooth muscle protein (SM22) mRNA,0.12024171568455376
Azurocidin gene,0.12024171568455376
"SPTBN1 Spectrin, beta, non-erythrocytic 1",0.1210086221290506
DPP6 Dipeptidylpeptidase VI,0.1210086221290506
SPLICING FACTOR U2AF 35 KD SUBUNIT,0.12124847630033807
SATB1 Special AT-rich sequence binding protein 1 (binds to nuclear matrix/scaffold-associating DNA's),0.12126844172030103
CRABP2 Cellular retinoic acid-binding protein 2,0.12232164744876084
"NASP Nuclear autoantigenic sperm protein (histone-binding)",0.12232164744876084
Defensin 5 gene,0.12236232850674181
SIGNAL TRANSDUCER AND ACTIVATOR OF TRANSCRIPTION 1-ALPHA/BETA,0.12236232850674181
Folylpolyglutamate synthetase mRNA,0.12249980827660732
Prostaglandin D2 synthase gene,0.12288069395177491
Keratin 1 gene,0.12299618890995101
FLI1 Friend leukemia virus integration 1,0.12299618890995101
"KERATIN, TYPE II CYTOSKELETAL 2 ORAL",0.12348050824923212
(pp21) mRNA,0.12348050824923212
"KERATIN, TYPE II CYTOSKELETAL 2 EPIDERMAL",0.12363425495881586
CRYAB Crystallin alpha-B,0.12368272216844016
HKR-T1,0.12381954034506157
CD34 CD34 antigen (hemopoietic progenitor cell antigen),0.12392976332226904
Pp52,0.12420345326279258
RGS1 Regulator of G-protein signalling 1,0.12463482702586909
ERBB3 V-erb-b2 avian erythroblastic leukemia viral oncogene homolog 3 {alternative products},0.12463482702586909
D10S102,0.1259110266652653
"SP-10=intra-acrosomal protein {alternatively spliced} [human, liver, Genomic, 2339 nt 4 segments]",0.1259110266652653
"Actin depolymerizing factor [human, fetal brain, mRNA, 1452 nt]",0.1261063562270918
RBP2,0.12690351877472603
"Heat shock protein HSP72 homolog [human, thyroid associated ophthalmopathy patient, mRNA Partial, 450 nt]",0.1269979845019133
"PCCB Propionyl Coenzyme A carboxylase, beta polypeptide",0.12716966742184743
"SLC9A1 Solute carrier family 9 (sodium/hydrogen exchanger), isoform 1 (antiporter, Na+/H+, amiloride sensitive)",0.1271867950534293
"Granulocyte colony-stimulating factor induced gene [human, CML patient, bone marrow mononuclear cells, mRNA, 833 nt]",0.1271867950534293
"GB DEF = Glycine transporter type 1b [human, substantia nigra, mRNA, 2364 nt]",0.12730890779725615
"NEURAL CELL ADHESION MOLECULE, PHOSPHATIDYLINOSITOL-LINKED ISOFORM PRECURSOR",0.12784558151519232
CDC10 Cell division cycle 10 (homologous to CDC10 of S. cerevisiae,0.12827412480474581
Platelet-derived endothelial cell growth factor mRNA,0.12827412480474581
"Brain-expressed HHCPA78 homolog [human, HL-60 acute promyelocytic leukemia cells, mRNA, 2704 nt]",0.12828837324811718
Nrf2,0.1284834050912106
IK,0.1290220313074771
"Cellular retinoic acid-binding protein [human, skin, mRNA, 735 nt]",0.1290220313074771
"Matk=megakaryocyte-associated tyrosine kinase [human, Genomic, 2617 nt 13 segments]",0.12934776860421604
"ELONGATION FACTOR TU, MITOCHONDRIAL PRECURSOR",0.1307911644562077
BLK Protein-tyrosine kinase blk,0.13096802957955742
"Protein kinase inhibitor [human, neuroblastoma cell line SH-SY-5Y, mRNA, 2147 nt]",0.13224113632300882
VAV2 Vav 2 oncogene,0.13266601639521752
"GB DEF = Transcript ch21=oligomycin sensitivity conferral protein oscp homolog [human, RF1,RF48 stomach cancer cell lines, mRNA, 262 nt]",0.13270446229103536
"GB DEF = ERV9 reverse transcriptase homolog {clone RT18} [human, multiple sclerosis, brain plaques, mRNA Partial, 84 nt]",0.1329857129344124
NF-E2 protein (NF-E2) mRNA,0.1329857129344124
FLT1 Fms-related tyrosine kinase 1 (vascular endothelial growth factor/vascular permeability factor receptor),0.1330169730872171
PDCD2 Programmed cell death 2,0.1332537525949091
M-PHASE INDUCER PHOSPHATASE 2,0.13339365683935542
"Neurofilament-66 [human, fetal brain, mRNA, 3197 nt]",0.13360601860054933
EXT1 Exostoses (multiple) 1,0.1344049384724933
ITGB7 Integrin beta-7 subunit,0.1344049384724933
L-UBC,0.1346168210297546
TGF-beta inducible early protein (TIEG) mRNA,0.1346168210297546
IEX-1,0.13542915052615936
BB1,0.13542915052615936
"GB DEF = Putative Rab5-interacting protein {clone L1-57} [human, HeLa cells, mRNA Partial, 366 nt]",0.1355969229322594
PHB Prohibitin,0.13635969045374954
"Protein phosphatase 2C alpha [human, teratocarcinoma, mRNA, 2346 nt]",0.13649205774870346
"Cytochrome P450 reductase [human, placenta, mRNA Partial, 2403 nt]",0.13694591384918814
BCL6 B cell lymphoma protein 6 (zinc finger protein 51),0.13701024320189478
IL10R Interleukin 10 receptor,0.13707320415491608
"LST1 mRNA, cLST1/E splice variant",0.1371208565629699
GB DEF = Clone A9A2BRB2 (CAC)n/(GTG)n repeat-containing mRNA,0.1372420471179014
Clone A9A2BRB7 (CAC)n/(GTG)n repeat-containing mRNA,0.13791493700606988
SREBP-1 mRNA,0.1388918953383447
PLK mRNA,0.13904455626958676
ABR Active BCR-related gene,0.1401317486831615
GB DEF = Olfactory marker protein (OMP) gene,0.14039820378683734
Beta-globin thalassemia gene extracted from Human beta globin region on chromosome 11,0.14095722092931418
Glutamate transporter,0.14095722092931418
BTK region clone ftp-3 mRNA,0.14095722092931418
Pre-B cell enhancing factor (PBEF) mRNA,0.14148053332295285
Sterol regulatory element binding protein-2 mRNA,0.14156488407150605
Guanine nucleotide regulatory protein (NET1) mRNA,0.14169788306643996
FKHR Homolog 1 of Drosophila forkhead (rhabdomyosarcoma),0.14382248056933575
54 kDa protein mRNA,0.14423155734207657
RP3 mRNA,0.14488592027708969
"CDC42 GTPase-activating protein mRNA, partial cds",0.14589198818595014
TFIIIC Box B-binding subunit mRNA,0.14589198818595014
Growth factor receptor tyrosine kinase (STK-1) mRNA,0.14688933312898095
Actin bundling protein mRNA,0.14688933312898095
Ca2+-dependent phospholipase A2 mRNA,0.14713981523838965
B4-2 protein mRNA,0.1473200943894134
GB DEF = Centrin mRNA,0.1473200943894134
FBN2 Fibrillin 2,0.14855541556980345
Receptor 4-1BB ligand mRNA,0.14863839859143305
G protein-coupled receptor APJ gene,0.1488845196318301
"Capping protein alpha mRNA, partial cds",0.14987347687970773
"Phorbolin I mRNA, partial cds",0.14987347687970773
Trophinin mRNA,0.1500292779846923
RORA RAR-related orphan receptor A,0.1500292779846923
Fetal Alz-50-reactive clone 1 (FAC1) mRNA,0.1503658909587921
MB-1 gene,0.15054917774552098
P55CDC mRNA,0.15069549483248001
HSD17B3 Hydroxysteroid (17-beta) dehydrogenase 3,0.15082785961574097
Clone pSK1 interferon gamma receptor accessory factor-1 (AF-1) mRNA,0.15084817500869396
N-ACETYLGALACTOSAMINE-6-SULFATASE PRECURSOR,0.1513044442113558
IEF SSP 9502 mRNA,0.15143160162277336
Clone CCA12 mRNA containing CCA trinucleotide repeat,0.15143160162277336
Follistatin-related protein precursor mRNA,0.1517728522931548
"Orphan receptor mRNA, partial cds",0.151827602265551
Syntaxin mRNA,0.15403531700870293
Beta2-chimaerin mRNA,0.15407019036324543
Protein kinase (zpk) mRNA,0.15471631914875392
MLH1 DNA mismatch repair protein MLH1,0.15482443255752976
Putative tRNA synthetase-like protein mRNA,0.15567959909063975
HSPE1 Heat shock 10 kD protein 1 (chaperonin 10),0.15567959909063975
"ABL gene, exon 1b and intron 1b, and putative M8604 Met protein  (M8604 Met) gene",0.15569458748385914
HB9 homeobox gene,0.15598137835740897
"NAD(H)-specific isocitrate dehydrogenase alpha subunit precursor mRNA",0.15599356208128554
HTK Hepatoma transmembrane kinase,0.15599432610295877
ERF-2 mRNA,0.1563110861382627
SRP14 Signal recognition particle 14 kD protein,0.15650108050469086
ALDH6 Aldehyde dehydrogenase 6 ,0.15650108050469086
GB DEF = Insulin-stimulated protein kinase 1 (ISPK-1) mRNA,0.15693372384204365
Basic helix-loop-helix transcription factor mRNA,0.15693372384204365
Splicesomal protein (SAP 61) mRNA,0.15693372384204365
Glutamate transporter mRNA,0.15701683121819518
Phospholipase c delta 1 mRNA,0.15792461031068666
1.1 kb mRNA upregulated in retinoic acid treated HL-60 neutrophilic cells,0.15792461031068666
PINCH protein mRNA,0.15918374052950487
Placenta LERK-2 (EPLG2) mRNA,0.15929868353951276
ZNF131 Zinc finger protein 131 (clone pHZ-10),0.16056873579402162
Serine kinase mRNA,0.16070785328793866
MAPKAP kinase (3pK) mRNA,0.16070785328793866
"CDKN1A Cyclin-dependent kinase inhibitor 1A (p21, Cip1)",0.1607223042463478
"JAK3 Janus kinase 3 (a protein tyrosine kinase, leukocyte)",0.16183393003500887
Cysteine-rich heart protein (hCRHP) mRNA,0.161859569582338
ZNF173 Acid finger protein ZNF173,0.16216112664670146
ZNF139 Zinc finger protein 139 (clone pHZ-37),0.16216112664670146
ZNF143 Zinc finger protein 143 (clone pHZ-1),0.1630813890873979
CALMODULIN,0.1630813890873979
